timestamp,id,type,status
2017-05-01T00:00:10Z,a4a281ad,sensor,offline
2017-05-01T00:05:30Z,f5d9c9f2,sensor,offline
2017-05-01T00:11:20Z,bb6dee36,gateway,online
2017-05-01T00:17:50Z,a4a281ad,sensor,online
2017-05-01T00:20:00Z,370ee49f,sensor,online
2017-05-01T00:28:00Z,caedaaef,sensor,online
2017-05-01T00:28:40Z,9c1060fc,sensor,online
2017-05-01T00:32:50Z,9db3b7eb,gateway,online
2017-05-01T00:43:50Z,3831469f,gateway,offline
2017-05-01T00:50:10Z,3831469f,gateway,offline
2017-05-01T00:50:20Z,6e711d12,sensor,online
2017-05-01T00:50:30Z,89987171,gateway,online
2017-05-01T00:52:00Z,370ee49f,sensor,online
2017-05-01T00:54:00Z,86c9c2ea,sensor,offline
2017-05-01T00:54:10Z,798492f6,sensor,offline
2017-05-01T00:56:20Z,0413fb2e,gateway,offline
2017-05-01T01:05:20Z,853cbd94,gateway,online
2017-05-01T01:06:30Z,413edcf4,gateway,online
2017-05-01T01:08:10Z,af04c01a,gateway,offline
2017-05-01T01:10:10Z,28789491,gateway,offline
2017-05-01T01:10:40Z,e7b25c6a,sensor,offline
2017-05-01T01:10:50Z,1a96007b,gateway,offline
2017-05-01T01:23:00Z,ff5a5189,gateway,online
2017-05-01T01:24:40Z,5b63c532,sensor,online
2017-05-01T01:26:30Z,2c0ddfff,gateway,offline
2017-05-01T01:26:40Z,dc326aec,gateway,offline
2017-05-01T01:30:30Z,89987171,gateway,offline
2017-05-01T01:36:00Z,f285d0aa,sensor,online
2017-05-01T01:40:30Z,154f2679,gateway,offline
2017-05-01T01:43:30Z,8fbbcb28,gateway,online
2017-05-01T01:47:30Z,68d7dc9c,gateway,offline
2017-05-01T01:53:00Z,f285d0aa,sensor,offline
2017-05-01T02:01:20Z,4c878ab4,gateway,offline
2017-05-01T02:02:50Z,b88d1935,gateway,online
2017-05-01T02:12:10Z,d00f32f6,gateway,online
2017-05-01T02:15:50Z,8c8e6ad4,sensor,online
2017-05-01T02:18:40Z,9c1060fc,sensor,online
2017-05-01T02:20:10Z,cc2b7e1d,sensor,offline
2017-05-01T02:23:30Z,4e0e5b16,sensor,online
2017-05-01T02:23:40Z,14d526a9,sensor,online
2017-05-01T02:26:40Z,28789491,gateway,online
2017-05-01T02:29:20Z,0eb08b02,sensor,offline
2017-05-01T02:37:30Z,a4a281ad,sensor,online
2017-05-01T02:38:20Z,8f3b20d8,sensor,online
2017-05-01T02:46:00Z,09bbaa4f,gateway,online
2017-05-01T02:48:30Z,41000298,sensor,offline
2017-05-01T02:49:50Z,2ae06202,sensor,offline
2017-05-01T02:54:20Z,5b63c532,sensor,online
2017-05-01T02:55:20Z,4c878ab4,gateway,online
2017-05-01T02:55:30Z,6fbbd5ea,sensor,online
2017-05-01T03:05:00Z,c95d4587,sensor,offline
2017-05-01T03:10:00Z,9d8d52d0,gateway,offline
